video_id,title,published_at,view_count,like_count,comment_count,duration,hours,minutes,seconds,podcast,total_seconds,duration_minutes,is_short_strict
tC5qFAkST_4,Scale for a college?,2025-06-09T07:41:37Z,30020,787,5,PT1M18S,0,1,18,No,78,1.3,False
eWP2_oOY_sE,China's was making future India,2025-06-09T07:36:29Z,34017,995,14,PT1M9S,0,1,9,No,69,1.15,False
DVjbCEZJfTI,Parents' Dreams vs. Our Own,2025-06-07T14:21:20Z,44617,1165,4,PT1M18S,0,1,18,No,78,1.3,False
wrjk1NIuRS0,The Education Business in India,2025-06-07T14:06:21Z,682221,12383,68,PT1M11S,0,1,11,No,71,1.1833333333333331,False
Ymcq18ZNNWA,College Built With Zero Capex,2025-06-07T12:43:05Z,50742,1190,15,PT1M9S,0,1,9,No,69,1.15,False
OGYZfAibQgk,"Feedback transforms, growth follows naturally.",2025-06-07T12:24:35Z,28856,1017,5,PT1M11S,0,1,11,No,71,1.1833333333333331,False
uABNWprCXMY,Is the Company Investing in You?,2025-06-07T11:45:11Z,43465,1747,2,PT1M36S,0,1,36,No,96,1.6,False
LyjZkxqjN5A,Full Podcast tomorrow evening,2025-06-06T11:30:14Z,44686,1550,25,PT1M21S,0,1,21,No,81,1.35,False
q7A2jTYmxsY,Franchise Mistakes To Avoid,2025-06-03T11:10:47Z,64267,1275,9,PT1M2S,0,1,2,No,62,1.0333333333333334,False
hkVY4_jnPi0,India Needs More Value Addition,2025-06-02T14:48:13Z,184110,4146,84,PT1M2S,0,1,2,No,62,1.0333333333333334,False
6LpLl5H63N0,India's Retail King's Success Formula,2025-06-01T11:19:42Z,160700,5878,38,PT1M48S,0,1,48,No,108,1.8,False
eWiBLgxOcW0,Is India’s $4 Trillion GDP Actually a Trap? | Economic Case Study,2025-05-30T15:36:33Z,1482370,59833,7021,PT28M7S,0,28,7,No,1687,28.116666666666667,False
JRWqsdqXx7c,What Makes Hyderabad Special?,2025-05-29T11:17:10Z,63017,1454,16,PT1M14S,0,1,14,No,74,1.2333333333333334,False
ycGsB6Mzz6M,Safest City in India?,2025-05-28T12:01:50Z,64677,1946,57,PT1M15S,0,1,15,No,75,1.25,False
qVwP6JExZuA,How to Negotiate like a Pro,2025-05-28T11:45:05Z,129396,2240,12,PT1M5S,0,1,5,No,65,1.0833333333333333,False
65bWdY_7620,Red Flags in a Builder,2025-05-28T07:41:03Z,103630,1967,6,PT1M21S,0,1,21,No,81,1.35,False
GCBdqIterjc,Future Cities of India Explained,2025-05-27T13:00:23Z,119346,2606,45,PT1M23S,0,1,23,No,83,1.3833333333333333,False
JG2N2sdhSGQ,How to Invest in Indian Real estate? Complete guide in 90 mins I IBP EP29,2025-05-27T12:30:19Z,465070,7042,586,PT1H47M,1,47,0,No,6420,107.0,False
Z8Ijd45r8Hk,The UNTOLD STORY about America's $36 Trillion Debt | ECONOMIC Case Study,2025-05-26T15:15:07Z,1207772,29798,4254,PT18M17S,0,18,17,No,1097,18.283333333333335,False
oqD1np8kqsU,Ease of business in India,2025-05-26T13:16:28Z,965151,21780,402,PT1M3S,0,1,3,No,63,1.05,False
afTl4i7B_74,Hidden Truths of Indian Real Estate,2025-05-26T12:01:01Z,85222,3515,36,PT2M2S,0,2,2,No,122,2.033333333333333,False
0YrInRvAhQQ,Why Turkey Loves Pakistan Over India ?| UPSC Geopolitical case study,2025-05-21T13:00:17Z,374885,13478,1006,PT17M36S,0,17,36,No,1056,17.6,False
eq5JDN5hglY,Can Starlink DISRUPT India's telecom sector? : Starlink case study,2025-05-14T15:45:10Z,522992,12329,736,PT18M53S,0,18,53,No,1133,18.883333333333333,False
W9LZoIbA1cU,Indian Army Never Forgets!,2025-05-08T10:27:00Z,116851,3703,24,PT1M6S,0,1,6,No,66,1.1,False
g8Y78Ct-8_M,How Amitabh Bachchan fell in love with Naturals? Business Case Study,2025-04-23T14:30:08Z,882796,17783,417,PT21M13S,0,21,13,No,1273,21.216666666666665,False
TnEyFSToGbg,"Is Digital India a Failure? Are there Gaps in UPI, ONDC and OCEN? Detailed Analysis",2025-04-14T14:55:08Z,522020,15055,725,PT17M43S,0,17,43,No,1063,17.716666666666665,False
wVXAFlueS9Y,How Steve Jobs saved Apple from BANKRUPTCY? | Documentary | The Greatest Comeback story ever,2025-04-11T14:45:07Z,516209,15327,556,PT32M30S,0,32,30,No,1950,32.5,False
GlnC0O-56ks,Will AI End Us?,2025-04-10T13:44:40Z,91364,1798,29,PT1M23S,0,1,23,No,83,1.3833333333333333,False
X5y2SZ8Yyng,The DANGEROUS Side of AI,2025-04-10T13:44:17Z,37690,1087,17,PT1M21S,0,1,21,No,81,1.35,False
DEvMtZLTT8c,Game Changing AI Tools,2025-04-10T11:16:25Z,2464196,78628,205,PT1M9S,0,1,9,No,69,1.15,False
dsM7bIwnox8,Dark Truth about AI Exposed?,2025-04-10T11:15:35Z,77845,1837,28,PT1M11S,0,1,11,No,71,1.1833333333333331,False
